track_id,duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature_1,time_signature_3,time_signature_4,time_signature_5
3SGzRyb10ARnmWPSyzefPZ,248906,0,0.675,0.788,-8.837,0,0.0343,0.766,0.795,0.753,0.177,118.038,0.0,0.0,1.0,0.0
0QH9airTBgNMzLQOsozlYy,215159,0,0.77,0.936,-3.091,1,0.0446,0.184,3.57e-06,0.235,0.851,104.059,0.0,0.0,1.0,0.0
6Yy3QRfT2WsUXrdplVdt4h,295293,0,0.437,0.183,-25.455,0,0.0369,0.985,0.916,0.0989,0.0393,138.098,0.0,0.0,1.0,0.0
6FEiBAg7mwaG3F2Jt7jZnm,233540,0,0.477,0.757,-7.371,0,0.0625,0.721,0.0386,0.794,0.796,121.427,0.0,0.0,1.0,0.0
6sSyHED31Nw3Blus6oSrU4,112426,0,0.382,0.937,-9.01,1,0.0758,0.0172,0.0,0.271,0.0957,108.729,0.0,0.0,1.0,0.0
2u1QM3Ur8TlwXSadFIo5sJ,225960,0,0.603,0.731,-8.621,1,0.0759,0.819,6.14e-06,0.13,0.936,96.618,0.0,0.0,1.0,0.0
0ETm0srBWAHWy70zpDUZMQ,236400,0,0.928,0.884,-5.111,0,0.0715,0.345,0.00199,0.108,0.927,110.847,0.0,0.0,1.0,0.0
60uygJSldCifzLzPAUkgHD,262653,0,0.66,0.822,-5.112,1,0.0348,0.0618,0.846,0.174,0.672,85.481,0.0,0.0,1.0,0.0
5FZSLwsiGyLyCk84mC4fiP,378949,0,0.725,0.892,-13.915,1,0.286,0.347,0.0154,0.177,0.186,170.06,0.0,0.0,1.0,0.0
2O4O75liWpdFOt4B1jZSH7,208876,0,0.653,0.687,-8.657,1,0.0512,0.407,0.088,0.125,0.489,148.036,0.0,0.0,1.0,0.0
2znooFkKzDQ3mC8sWCFuG6,225541,0,0.663,0.784,-6.14,0,0.0683,0.645,0.0,0.268,0.872,92.899,0.0,1.0,0.0,0.0
7xlrdBdz8TGSo0COvLHymc,231114,0,0.517,0.753,-7.928,0,0.0515,0.0228,0.278,0.105,0.269,93.917,0.0,0.0,1.0,0.0
0SnvI0twJ1Mnh0rJlBRrf0,224000,0,0.499,0.937,-2.492,1,0.0605,4.54e-05,6.11e-06,0.477,0.569,90.029,0.0,0.0,1.0,0.0
7yaHIGNfsdw9OMKkT5URwF,232000,1,0.503,0.889,-4.608,0,0.0368,0.0149,0.00186,0.199,0.301,149.934,0.0,0.0,1.0,0.0
67cyAnrSzTMSdrG3SvqhDf,252880,0,0.208,0.0591,-23.449,1,0.0448,0.99,0.00794,0.131,0.0437,123.218,0.0,0.0,1.0,0.0
51mUEPMWDXgQLYaQhDVTJC,233946,0,0.383,0.97,-3.412,1,0.15,7.55e-06,0.693,0.129,0.132,180.089,0.0,0.0,1.0,0.0
1fb7jUF6fUYytD3h7eW11m,341038,0,0.146,0.0661,-27.101,0,0.0476,0.989,0.928,0.103,0.0623,76.633,0.0,0.0,1.0,0.0
3hXAHE8hVhksnZjVlCj6Jn,165230,0,0.757,0.737,-3.175,1,0.0511,0.058,0.0,0.173,0.705,129.941,0.0,0.0,1.0,0.0
2fUxb1BQXS5BvamV4TOUj6,305146,0,0.358,0.693,-5.976,1,0.0329,0.00459,1.14e-06,0.1,0.363,115.583,0.0,0.0,1.0,0.0
68YSWyORaQWhyjraUF95D6,166813,0,0.638,0.349,-8.247,0,0.0301,0.457,0.0,0.0668,0.94,103.081,0.0,0.0,1.0,0.0
5bpRBSk8PWLSDORhAUkEv5,147026,0,0.763,0.472,-8.232,1,0.0429,0.5,0.0,0.263,0.583,125.339,0.0,0.0,1.0,0.0
05sqcYfU2wMlKwPVJ0rotq,343118,0,0.816,0.456,-8.281,0,0.569,0.529,0.0,0.189,0.534,95.992,0.0,0.0,1.0,0.0
3uv5o7hM6piPkA20ZhWQQ2,217647,0,0.816,0.676,-5.682,1,0.0708,0.701,0.0139,0.201,0.0845,118.047,0.0,0.0,1.0,0.0
6sE7qyZ0vDwLNxa2cW9sYB,190953,0,0.482,0.821,-6.433,0,0.557,0.786,0.0,0.97,0.576,87.418,0.0,1.0,0.0,0.0
1XUpliD9C3bVme9vTbl631,121500,0,0.749,0.381,-5.894,1,0.0666,0.000949,0.22,0.118,0.496,144.074,0.0,0.0,1.0,0.0
7MgjKZqCd0kD4qTc60JSNU,253746,0,0.793,0.394,-7.252,0,0.0582,0.117,0.0,0.21,0.419,131.974,0.0,0.0,1.0,0.0
1pM9kwOy7CnjRNVzOHJ2kf,243948,0,0.764,0.706,-6.828,0,0.0779,0.634,0.0,0.0668,0.576,104.914,0.0,0.0,1.0,0.0
7wGl2tSsWNvhUIyIJXMSRL,181360,0,0.582,0.705,-8.169,1,0.0539,0.29,1.38e-06,0.797,0.64,128.89,0.0,0.0,1.0,0.0
0c0uFehhA1ekbQmqZ0HKeb,193803,0,0.637,0.53,-7.53,1,0.0301,0.529,0.0144,0.109,0.363,87.034,0.0,0.0,1.0,0.0
6BgO5bfwkETrrC13IMoCra,140442,1,0.678,0.657,-6.484,1,0.42,0.278,0.0,0.101,0.508,164.101,0.0,0.0,1.0,0.0
3DQB2U5mrevogzSTMJjwHX,228000,1,0.724,0.374,-13.784,0,0.142,0.149,0.0,0.31,0.83,159.983,0.0,0.0,1.0,0.0
7A7WraHA4SXB7ScKyapAEI,181120,0,0.593,0.351,-23.852,1,0.0518,0.407,0.0,0.932,0.711,101.966,0.0,0.0,1.0,0.0
1NgM2SEuhj7pAzeVTF6Oe5,164000,0,0.428,0.0145,-31.154,1,0.047,0.994,0.895,0.0881,0.345,128.522,0.0,0.0,1.0,0.0
67PY8HBV98iVLodNXhBk8V,287146,0,0.404,0.397,-11.112,1,0.0371,0.848,0.725,0.156,0.69,171.012,0.0,1.0,0.0,0.0
2gEMYenxffi2CwAhhsacEi,159413,0,0.672,0.615,-8.274,1,0.0293,0.471,0.0,0.0911,0.944,119.693,0.0,0.0,1.0,0.0
6Qyc6fS4DsZjB2mRW9DsQs,289533,0,0.315,0.715,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,0.0,1.0,0.0,0.0
0pAujWDwUAvT0CdjZbEl2H,204986,0,0.659,0.682,-5.045,1,0.0293,0.00992,0.0,0.159,0.664,109.022,0.0,0.0,1.0,0.0
284goiTL3lg84LccoA5mAo,315715,0,0.0982,0.255,-20.245,1,0.0435,0.862,0.915,0.302,0.0376,82.459,0.0,0.0,0.0,1.0
54lkjZWc8TO7r1QSCiIwVG,168773,0,0.635,0.311,-12.621,1,0.0314,0.772,4.93e-05,0.0955,0.34,124.166,0.0,1.0,0.0,0.0
0OdhpoWEDTLsUcTNFlYkY3,238066,0,0.754,0.427,-14.662,1,0.0318,0.157,0.00406,0.107,0.871,124.839,0.0,0.0,1.0,0.0
33QBQITif9997JUmuEi3KR,92986,0,0.374,0.128,-17.219,0,0.0338,0.983,0.935,0.0823,0.299,80.516,0.0,0.0,1.0,0.0
0brBOuaQqOcpwVIL0lnucD,149000,0,0.617,0.835,-5.384,0,0.0321,0.359,0.000698,0.118,0.833,129.172,0.0,0.0,1.0,0.0
6GqhCxiV3PLhy9Wd4PCFBI,69111,0,0.345,0.906,-6.78,0,0.216,0.0091,0.0,0.493,0.498,142.857,0.0,1.0,0.0,0.0
5fyuK2HUPl5mq6uCR3RT0j,268946,0,0.308,0.787,-3.867,1,0.035,0.449,0.0,0.0372,0.449,83.996,0.0,0.0,1.0,0.0
6DdPYmxUiA1AY1ssq4ZBkG,220640,0,0.632,0.702,-4.496,0,0.0228,0.356,0.0,0.247,0.789,99.955,0.0,0.0,1.0,0.0
6SWsSQnuTOyE6DOJG7Zdi4,174466,0,0.856,0.178,-15.241,1,0.0464,0.748,0.00593,0.0937,0.632,130.089,0.0,1.0,0.0,0.0
2WT4MG0M4R3RmkPUQj8Xct,166853,0,0.479,0.864,-4.601,0,0.055,0.00505,4.58e-05,0.0926,0.421,159.994,0.0,0.0,1.0,0.0
1Auq9Y77qiEMohVa8mVBAm,207836,0,0.361,0.177,-12.023,0,0.0346,0.927,0.0,0.0911,0.32,113.36,0.0,0.0,1.0,0.0
18Aq8owdWFQ0gHmDLujyUR,203766,1,0.66,0.646,-8.056,0,0.341,0.0652,0.0,0.336,0.321,100.976,0.0,0.0,1.0,0.0
4cAKvnal7hgdawfCUOIx0T,184560,0,0.619,0.585,-11.715,1,0.106,0.00463,0.882,0.35,0.642,167.942,0.0,0.0,1.0,0.0
5ksSlyHCl8zK57uOmxmMEO,264000,0,0.556,0.431,-9.813,1,0.0377,0.623,0.0,0.0879,0.284,140.064,0.0,0.0,1.0,0.0
4B8ROu7Pp6tbRMzbJQGixj,257519,1,0.532,0.969,-3.967,1,0.0581,2.41e-05,0.0265,0.0912,0.547,103.511,0.0,0.0,1.0,0.0
3W3YqIHIV3tbAl4rdb9Kep,136703,0,0.403,0.726,-11.184,1,0.0456,0.00446,0.85,0.321,0.053,87.99,0.0,0.0,1.0,0.0
4nVUk0Ff9fKbeNQHaYlnyw,257066,0,0.798,0.813,-6.198,0,0.205,0.502,0.0,0.0846,0.802,89.807,0.0,1.0,0.0,0.0
31YGYW9rI18jQDL9lbU1BS,267160,0,0.634,0.723,-7.975,0,0.0724,0.212,0.000728,0.124,0.703,169.847,0.0,0.0,1.0,0.0
2X9yEYprYoujndrM0coiHx,134013,0,0.395,0.965,-4.406,0,0.127,0.000541,0.301,0.0801,0.493,152.941,0.0,0.0,1.0,0.0
4oMVO2Ykko5M6cU6yCAkNt,199764,0,0.547,0.577,-1.172,1,0.037,0.49,0.0,0.0699,0.776,169.853,0.0,0.0,1.0,0.0
5KhFaq45chTw8RGfWo8T8J,112666,1,0.764,0.711,-3.818,0,0.288,0.175,0.0,0.105,0.774,90.076,0.0,0.0,1.0,0.0
6pbCkvCENw0suVGr4Ckkae,232506,0,0.757,0.78,-5.038,1,0.319,0.0811,0.0,0.113,0.59,97.917,0.0,0.0,1.0,0.0
0uwNtbl80CvP4EFio32PYv,231333,0,0.564,0.598,-8.064,1,0.0262,0.0105,0.0901,0.165,0.555,105.009,0.0,0.0,1.0,0.0
52BLAD9ywTCjpAFZHXJFLJ,159893,0,0.491,0.379,-8.686,1,0.0334,0.515,0.0,0.345,0.61,177.08,0.0,0.0,1.0,0.0
4UAA90EcCF2AdBcvA9z0l9,196000,0,0.454,0.818,-5.472,1,0.0349,0.00334,1.36e-05,0.301,0.523,139.321,0.0,0.0,1.0,0.0
0cmWM5uuQJCzRJbBegi0p1,155474,1,0.775,0.862,-5.341,1,0.137,0.224,0.0,0.334,0.454,99.999,0.0,0.0,1.0,0.0
0Z01mDdXiSDW8XQY9d83i2,389266,0,0.581,0.482,-13.338,0,0.0542,0.49,0.000231,0.194,0.921,104.788,0.0,0.0,1.0,0.0
1U1GtaJeYwGsPgqV9Me5bb,306200,0,0.504,0.321,-13.807,1,0.0316,0.149,0.000107,0.147,0.577,170.134,0.0,1.0,0.0,0.0
2VRtvXFwINloiZyYE5GGNG,150910,0,0.451,0.0476,-25.382,1,0.0355,0.995,0.911,0.0997,0.224,135.892,0.0,1.0,0.0,0.0
